level,value,number_of_labels,label
800.0,5.9,3,3
800.0,5.9,3,9
800.0,6.0,3,1
800.0,6.0,3,2
800.0,6.0,3,6
800.0,6.1,3,1
800.0,6.1,3,2
800.0,6.1,3,5
800.0,6.2,2,1
800.0,6.2,2,2
800.0,6.3,2,1
800.0,6.3,2,3
800.0,6.4,2,1
800.0,6.4,2,3
800.0,6.5,2,2
800.0,6.5,2,4
800.0,6.6,2,2
800.0,6.6,2,5
800.0,6.7,2,2
800.0,6.7,2,6
800.0,6.8,2,2
800.0,6.8,2,5
800.0,6.9,2,2
800.0,6.9,2,5
800.0,7.0,2,2
800.0,7.0,2,6
800.0,7.1,2,1
800.0,7.1,2,4
800.0,7.2,2,1
800.0,7.2,2,3
800.0,7.3,2,1
800.0,7.3,2,4
800.0,7.4,2,1
800.0,7.4,2,4
800.0,7.5,3,1
800.0,7.5,3,4
800.0,7.5,3,5
800.0,7.6,3,1
800.0,7.6,3,4
800.0,7.6,3,5
800.0,7.7,3,1
800.0,7.7,3,4
800.0,7.7,3,5
800.0,7.8,3,1
800.0,7.8,3,4
800.0,7.8,3,5
800.0,7.9,3,1
800.0,7.9,3,4
800.0,7.9,3,5
800.0,8.0,3,1
800.0,8.0,3,4
800.0,8.0,3,5
800.0,8.1,4,1
800.0,8.1,4,2
800.0,8.1,4,3
800.0,8.1,4,4
800.0,8.2,4,1
800.0,8.2,4,3
800.0,8.2,4,4
800.0,8.2,4,5
800.0,8.3,4,1
800.0,8.3,4,4
800.0,8.3,4,5
800.0,8.3,4,6
800.0,8.4,4,1
800.0,8.4,4,3
800.0,8.4,4,4
800.0,8.4,4,5
800.0,8.5,4,1
800.0,8.5,4,3
800.0,8.5,4,5
800.0,8.5,4,6
800.0,8.6,4,1
800.0,8.6,4,3
800.0,8.6,4,4
800.0,8.6,4,5
800.0,8.7,3,1
800.0,8.7,3,5
800.0,8.7,3,8
800.0,8.8,3,2
800.0,8.8,3,7
800.0,8.8,3,9
800.0,8.9,3,2
800.0,8.9,3,7
800.0,8.9,3,9
800.0,9.0,3,1
800.0,9.0,3,5
800.0,9.0,3,7
800.0,9.1,3,1
800.0,9.1,3,5
800.0,9.1,3,6
800.0,9.2,3,1
800.0,9.2,3,3
800.0,9.2,3,4
800.0,9.3,3,1
800.0,9.3,3,5
800.0,9.3,3,6
800.0,9.4,3,1
800.0,9.4,3,5
800.0,9.4,3,6
800.0,9.5,3,1
800.0,9.5,3,6
800.0,9.5,3,7
800.0,9.6,3,1
800.0,9.6,3,6
800.0,9.6,3,7
800.0,9.7,3,1
800.0,9.7,3,6
800.0,9.7,3,7
800.0,9.8,3,1
800.0,9.8,3,4
800.0,9.8,3,5
800.0,9.9,3,1
800.0,9.9,3,4
800.0,9.9,3,5
800.0,10.0,3,1
800.0,10.0,3,3
800.0,10.0,3,4
800.0,10.1,3,1
800.0,10.1,3,3
800.0,10.1,3,4
800.0,10.2,3,1
800.0,10.2,3,2
800.0,10.2,3,3
800.0,10.3,3,1
800.0,10.3,3,3
800.0,10.3,3,4
800.0,10.4,3,1
800.0,10.4,3,4
800.0,10.4,3,5
800.0,10.5,4,1
800.0,10.5,4,2
800.0,10.5,4,4
800.0,10.5,4,5
800.0,10.6,4,1
800.0,10.6,4,2
800.0,10.6,4,3
800.0,10.6,4,4
800.0,10.7,4,1
800.0,10.7,4,2
800.0,10.7,4,3
800.0,10.7,4,4
800.0,10.8,4,1
800.0,10.8,4,2
800.0,10.8,4,4
800.0,10.8,4,5
800.0,10.9,3,2
800.0,10.9,3,4
800.0,10.9,3,5
800.0,11.0,3,2
800.0,11.0,3,5
800.0,11.0,3,6
800.0,11.1,3,2
800.0,11.1,3,5
800.0,11.1,3,6
800.0,11.2,3,1
800.0,11.2,3,4
800.0,11.2,3,5
800.0,11.3,3,1
800.0,11.3,3,4
800.0,11.3,3,5
800.0,11.4,3,1
800.0,11.4,3,4
800.0,11.4,3,5
800.0,11.5,3,1
800.0,11.5,3,4
800.0,11.5,3,5
800.0,11.6,3,1
800.0,11.6,3,3
800.0,11.6,3,5
800.0,11.7,3,1
800.0,11.7,3,6
800.0,11.7,3,8
800.0,11.8,3,1
800.0,11.8,3,5
800.0,11.8,3,7
800.0,11.9,3,1
800.0,11.9,3,3
800.0,11.9,3,5
800.0,12.0,3,2
800.0,12.0,3,3
800.0,12.0,3,5
800.0,12.1,3,2
800.0,12.1,3,4
800.0,12.1,3,6
800.0,12.2,3,1
800.0,12.2,3,3
800.0,12.2,3,5
800.0,12.3,3,1
800.0,12.3,3,2
800.0,12.3,3,5
800.0,12.4,4,1
800.0,12.4,4,2
800.0,12.4,4,3
800.0,12.4,4,5
800.0,12.5,4,1
800.0,12.5,4,2
800.0,12.5,4,3
800.0,12.5,4,5
800.0,12.6,4,1
800.0,12.6,4,2
800.0,12.6,4,3
800.0,12.6,4,5
800.0,12.7,3,1
800.0,12.7,3,3
800.0,12.7,3,5
800.0,12.8,3,1
800.0,12.8,3,5
800.0,12.8,3,7
800.0,12.9,2,7
800.0,12.9,2,9
800.0,13.0,2,7
800.0,13.0,2,9
800.0,13.1,2,6
800.0,13.1,2,7
800.0,13.2,2,6
800.0,13.2,2,7
800.0,13.3,2,7
800.0,13.3,2,8
800.0,13.4,2,6
800.0,13.4,2,8
800.0,13.5,2,4
800.0,13.5,2,5
800.0,13.6,2,4
800.0,13.6,2,5
800.0,13.7,2,3
800.0,13.7,2,4
800.0,13.8,2,2
800.0,13.8,2,3
800.0,13.9,2,2
800.0,13.9,2,3
800.0,14.0,2,1
800.0,14.0,2,2
800.0,14.1,2,1
800.0,14.1,2,2
800.0,14.2,2,1
800.0,14.2,2,3
800.0,14.3,1,1
800.0,14.4,1,1
800.0,14.5,1,1
800.0,14.6,1,1
800.0,14.7,1,1
800.0,14.8,1,1
800.0,14.9,1,1
800.0,15.0,1,1
800.0,15.1,1,1
800.0,15.2,1,1
800.0,15.3,1,1
800.0,15.4,1,1
800.0,15.5,1,1
800.0,15.6,1,1
800.0,15.7,1,1
800.0,15.8,1,1
800.0,15.9,1,1
800.0,16.0,1,1
800.0,16.1,1,1
800.0,16.2,1,1
800.0,16.3,1,1
800.0,16.4,1,1
800.0,16.5,1,1
800.0,16.6,1,1
800.0,16.7,1,1
800.0,16.8,1,1
800.0,16.9,1,1
800.0,17.0,1,1
800.0,17.1,1,1
800.0,17.2,1,1
800.0,19.1,1,1
800.0,19.2,1,1
800.0,19.3,1,1
800.0,19.4,1,1
800.0,19.5,1,1
800.0,19.6,1,1
800.0,19.7,1,1
800.0,19.8,1,1
800.0,19.9,1,1
800.0,20.0,1,1
800.0,20.1,1,1
800.0,20.2,1,1
