level,value,number_of_labels,label
850.0,3.8,6,13
850.0,3.8,6,16
850.0,3.9,4,2
850.0,3.9,4,4
850.0,3.9,4,7
850.0,3.9,4,9
850.0,4.0,4,1
850.0,4.0,4,2
850.0,4.0,4,6
850.0,4.0,4,8
850.0,4.1,4,1
850.0,4.1,4,2
850.0,4.1,4,5
850.0,4.1,4,6
850.0,4.2,4,1
850.0,4.2,4,2
850.0,4.2,4,5
850.0,4.2,4,6
850.0,4.3,4,1
850.0,4.3,4,2
850.0,4.3,4,5
850.0,4.3,4,6
850.0,4.4,4,1
850.0,4.4,4,2
850.0,4.4,4,5
850.0,4.4,4,6
850.0,4.5,4,1
850.0,4.5,4,2
850.0,4.5,4,5
850.0,4.5,4,6
850.0,4.6,4,1
850.0,4.6,4,2
850.0,4.6,4,3
850.0,4.6,4,4
850.0,4.7,4,1
850.0,4.7,4,2
850.0,4.7,4,4
850.0,4.7,4,5
850.0,4.8,4,1
850.0,4.8,4,2
850.0,4.8,4,4
850.0,4.8,4,5
850.0,4.9,5,1
850.0,4.9,5,2
850.0,4.9,5,3
850.0,4.9,5,4
850.0,4.9,5,5
850.0,5.0,5,1
850.0,5.0,5,2
850.0,5.0,5,5
850.0,5.0,5,6
850.0,5.0,5,7
850.0,5.1,4,1
850.0,5.1,4,2
850.0,5.1,4,5
850.0,5.1,4,6
850.0,5.2,4,1
850.0,5.2,4,2
850.0,5.2,4,5
850.0,5.2,4,6
850.0,5.3,4,1
850.0,5.3,4,2
850.0,5.3,4,5
850.0,5.3,4,6
850.0,5.4,5,1
850.0,5.4,5,2
850.0,5.4,5,3
850.0,5.4,5,4
850.0,5.4,5,5
850.0,5.5,5,1
850.0,5.5,5,3
850.0,5.5,5,7
850.0,5.5,5,8
850.0,5.5,5,9
850.0,5.6,4,1
850.0,5.6,4,2
850.0,5.6,4,8
850.0,5.6,4,10
850.0,5.7,4,1
850.0,5.7,4,4
850.0,5.7,4,7
850.0,5.7,4,9
850.0,5.8,4,1
850.0,5.8,4,4
850.0,5.8,4,6
850.0,5.8,4,8
850.0,5.9,4,1
850.0,5.9,4,3
850.0,5.9,4,9
850.0,5.9,4,10
850.0,6.0,3,1
850.0,6.0,3,2
850.0,6.0,3,8
850.0,6.1,3,1
850.0,6.1,3,2
850.0,6.1,3,10
850.0,6.2,3,1
850.0,6.2,3,2
850.0,6.2,3,8
850.0,6.3,3,1
850.0,6.3,3,2
850.0,6.3,3,7
850.0,6.4,3,1
850.0,6.4,3,2
850.0,6.4,3,5
850.0,6.5,3,1
850.0,6.5,3,2
850.0,6.5,3,6
850.0,6.6,3,1
850.0,6.6,3,2
850.0,6.6,3,7
850.0,6.7,3,1
850.0,6.7,3,3
850.0,6.7,3,8
850.0,6.8,3,1
850.0,6.8,3,4
850.0,6.8,3,9
850.0,6.9,3,1
850.0,6.9,3,3
850.0,6.9,3,7
850.0,7.0,3,1
850.0,7.0,3,4
850.0,7.0,3,7
850.0,7.1,3,1
850.0,7.1,3,7
850.0,7.1,3,10
850.0,7.2,3,1
850.0,7.2,3,7
850.0,7.2,3,9
850.0,7.3,3,1
850.0,7.3,3,8
850.0,7.3,3,10
850.0,7.4,3,1
850.0,7.4,3,6
850.0,7.4,3,7
850.0,7.5,3,1
850.0,7.5,3,6
850.0,7.5,3,7
850.0,7.6,3,1
850.0,7.6,3,6
850.0,7.6,3,7
850.0,7.7,3,1
850.0,7.7,3,5
850.0,7.7,3,7
850.0,7.8,4,1
850.0,7.8,4,6
850.0,7.8,4,8
850.0,7.8,4,9
850.0,7.9,4,2
850.0,7.9,4,7
850.0,7.9,4,8
850.0,7.9,4,9
850.0,8.0,4,2
850.0,8.0,4,6
850.0,8.0,4,7
850.0,8.0,4,8
850.0,8.1,4,2
850.0,8.1,4,7
850.0,8.1,4,8
850.0,8.1,4,9
850.0,8.2,4,2
850.0,8.2,4,6
850.0,8.2,4,9
850.0,8.2,4,10
850.0,8.3,4,2
850.0,8.3,4,9
850.0,8.3,4,12
850.0,8.3,4,13
850.0,8.4,3,2
850.0,8.4,3,8
850.0,8.4,3,9
850.0,8.5,3,2
850.0,8.5,3,8
850.0,8.5,3,9
850.0,8.6,3,1
850.0,8.6,3,6
850.0,8.6,3,8
850.0,8.7,3,1
850.0,8.7,3,6
850.0,8.7,3,8
850.0,8.8,3,3
850.0,8.8,3,7
850.0,8.8,3,8
850.0,8.9,3,3
850.0,8.9,3,7
850.0,8.9,3,8
850.0,9.0,3,2
850.0,9.0,3,6
850.0,9.0,3,7
850.0,9.1,3,2
850.0,9.1,3,5
850.0,9.1,3,6
850.0,9.2,3,2
850.0,9.2,3,5
850.0,9.2,3,7
850.0,9.3,3,1
850.0,9.3,3,4
850.0,9.3,3,6
850.0,9.4,3,1
850.0,9.4,3,3
850.0,9.4,3,5
850.0,9.5,3,1
850.0,9.5,3,3
850.0,9.5,3,5
850.0,9.6,3,1
850.0,9.6,3,3
850.0,9.6,3,5
850.0,9.7,3,1
850.0,9.7,3,6
850.0,9.7,3,8
850.0,9.8,3,1
850.0,9.8,3,5
850.0,9.8,3,7
850.0,9.9,3,1
850.0,9.9,3,6
850.0,9.9,3,8
850.0,10.0,3,1
850.0,10.0,3,5
850.0,10.0,3,6
850.0,10.1,3,1
850.0,10.1,3,5
850.0,10.1,3,6
850.0,10.2,3,1
850.0,10.2,3,7
850.0,10.2,3,8
850.0,10.3,3,1
850.0,10.3,3,7
850.0,10.3,3,8
850.0,10.4,3,1
850.0,10.4,3,8
850.0,10.4,3,9
850.0,10.5,3,1
850.0,10.5,3,7
850.0,10.5,3,8
850.0,10.6,3,2
850.0,10.6,3,9
850.0,10.6,3,10
850.0,10.7,3,2
850.0,10.7,3,8
850.0,10.7,3,9
850.0,10.8,3,2
850.0,10.8,3,9
850.0,10.8,3,10
850.0,10.9,3,2
850.0,10.9,3,8
850.0,10.9,3,9
850.0,11.0,3,2
850.0,11.0,3,8
850.0,11.0,3,9
850.0,11.1,3,2
850.0,11.1,3,9
850.0,11.1,3,10
850.0,11.2,3,2
850.0,11.2,3,8
850.0,11.2,3,10
850.0,11.3,3,2
850.0,11.3,3,8
850.0,11.3,3,9
850.0,11.4,3,2
850.0,11.4,3,7
850.0,11.4,3,8
850.0,11.5,3,2
850.0,11.5,3,6
850.0,11.5,3,8
850.0,11.6,3,2
850.0,11.6,3,7
850.0,11.6,3,8
850.0,11.7,3,2
850.0,11.7,3,7
850.0,11.7,3,8
850.0,11.8,3,2
850.0,11.8,3,7
850.0,11.8,3,8
850.0,11.9,3,2
850.0,11.9,3,6
850.0,11.9,3,7
850.0,12.0,3,2
850.0,12.0,3,7
850.0,12.0,3,8
850.0,12.1,3,1
850.0,12.1,3,3
850.0,12.1,3,4
850.0,12.2,3,1
850.0,12.2,3,3
850.0,12.2,3,4
850.0,12.3,3,1
850.0,12.3,3,4
850.0,12.3,3,5
850.0,12.4,3,1
850.0,12.4,3,4
850.0,12.4,3,5
850.0,12.5,3,1
850.0,12.5,3,4
850.0,12.5,3,5
850.0,12.6,3,1
850.0,12.6,3,4
850.0,12.6,3,5
850.0,12.7,3,1
850.0,12.7,3,4
850.0,12.7,3,5
850.0,12.8,3,1
850.0,12.8,3,4
850.0,12.8,3,5
850.0,12.9,3,1
850.0,12.9,3,3
850.0,12.9,3,4
850.0,13.0,2,1
850.0,13.0,2,4
850.0,13.1,2,1
850.0,13.1,2,4
850.0,13.2,1,1
850.0,13.3,1,1
850.0,13.4,1,1
850.0,13.5,1,1
850.0,13.6,1,1
850.0,13.7,1,1
