level,value,number_of_labels,label
850.0,8.6,2,1
850.0,8.6,2,2
850.0,8.7,2,1
850.0,8.7,2,2
850.0,8.8,2,1
850.0,8.8,2,2
850.0,8.9,2,1
850.0,8.9,2,2
850.0,9.0,2,1
850.0,9.0,2,2
850.0,9.1,2,1
850.0,9.1,2,2
850.0,9.2,2,1
850.0,9.2,2,2
850.0,9.3,2,1
850.0,9.3,2,2
850.0,9.4,2,1
850.0,9.4,2,2
850.0,9.5,2,1
850.0,9.5,2,2
850.0,9.6,2,1
850.0,9.6,2,2
850.0,9.7,2,1
850.0,9.7,2,2
850.0,9.8,2,1
850.0,9.8,2,3
850.0,9.9,2,1
850.0,9.9,2,3
850.0,10.0,2,1
850.0,10.0,2,3
850.0,10.1,2,1
850.0,10.1,2,3
850.0,10.2,2,3
850.0,10.2,2,5
850.0,10.3,2,3
850.0,10.3,2,4
850.0,10.4,2,2
850.0,10.4,2,3
850.0,10.5,2,2
850.0,10.5,2,3
850.0,10.6,2,2
850.0,10.6,2,3
850.0,10.7,2,1
850.0,10.7,2,2
850.0,10.8,2,1
850.0,10.8,2,2
850.0,10.9,2,1
850.0,10.9,2,2
850.0,11.0,2,1
850.0,11.0,2,2
850.0,11.1,2,1
850.0,11.1,2,3
850.0,11.2,2,1
850.0,11.2,2,2
850.0,11.3,2,1
850.0,11.3,2,2
850.0,11.4,2,1
850.0,11.4,2,2
850.0,11.5,2,1
850.0,11.5,2,3
850.0,11.6,2,1
850.0,11.6,2,3
850.0,11.7,2,1
850.0,11.7,2,3
850.0,11.8,2,1
850.0,11.8,2,3
850.0,11.9,2,1
850.0,11.9,2,3
850.0,12.0,2,1
850.0,12.0,2,3
850.0,12.1,2,1
850.0,12.1,2,3
850.0,12.2,2,1
850.0,12.2,2,4
850.0,12.3,2,1
850.0,12.3,2,4
850.0,12.4,2,1
850.0,12.4,2,4
850.0,12.5,2,1
850.0,12.5,2,4
850.0,12.6,2,1
850.0,12.6,2,4
850.0,12.7,2,1
850.0,12.7,2,4
850.0,12.8,2,1
850.0,12.8,2,4
850.0,12.9,2,1
850.0,12.9,2,3
850.0,13.0,2,1
850.0,13.0,2,3
850.0,13.1,2,1
850.0,13.1,2,4
850.0,13.2,2,1
850.0,13.2,2,5
850.0,13.3,2,1
850.0,13.3,2,5
850.0,13.4,2,1
850.0,13.4,2,5
850.0,13.5,2,1
850.0,13.5,2,5
850.0,13.6,2,1
850.0,13.6,2,5
850.0,13.7,2,1
850.0,13.7,2,5
850.0,13.8,2,1
850.0,13.8,2,5
850.0,13.9,2,1
850.0,13.9,2,6
850.0,14.0,2,1
850.0,14.0,2,5
850.0,14.1,2,1
850.0,14.1,2,5
850.0,14.2,2,1
850.0,14.2,2,5
850.0,14.3,2,1
850.0,14.3,2,5
850.0,14.4,2,1
850.0,14.4,2,5
850.0,14.5,2,1
850.0,14.5,2,5
850.0,14.6,2,1
850.0,14.6,2,5
850.0,14.7,2,1
850.0,14.7,2,5
850.0,14.8,2,1
850.0,14.8,2,4
850.0,14.9,2,1
850.0,14.9,2,3
850.0,15.0,2,1
850.0,15.0,2,3
850.0,15.1,2,1
850.0,15.1,2,3
850.0,15.2,2,1
850.0,15.2,2,3
850.0,15.3,2,1
850.0,15.3,2,3
850.0,15.4,2,1
850.0,15.4,2,3
850.0,15.5,2,1
850.0,15.5,2,3
850.0,15.6,2,1
850.0,15.6,2,3
850.0,15.7,2,1
850.0,15.7,2,3
850.0,15.8,3,1
850.0,15.8,3,2
850.0,15.8,3,4
850.0,15.9,3,1
850.0,15.9,3,2
850.0,15.9,3,5
850.0,16.0,3,1
850.0,16.0,3,2
850.0,16.0,3,5
850.0,16.1,3,1
850.0,16.1,3,2
850.0,16.1,3,5
850.0,16.2,3,1
850.0,16.2,3,2
850.0,16.2,3,5
850.0,16.3,3,1
850.0,16.3,3,2
850.0,16.3,3,5
850.0,16.4,3,1
850.0,16.4,3,2
850.0,16.4,3,5
850.0,16.5,3,1
850.0,16.5,3,2
850.0,16.5,3,5
850.0,16.6,3,1
850.0,16.6,3,2
850.0,16.6,3,5
850.0,16.7,3,1
850.0,16.7,3,2
850.0,16.7,3,5
850.0,16.8,3,1
850.0,16.8,3,3
850.0,16.8,3,6
850.0,16.9,3,1
850.0,16.9,3,3
850.0,16.9,3,6
850.0,17.0,3,1
850.0,17.0,3,3
850.0,17.0,3,6
850.0,17.1,3,1
850.0,17.1,3,3
850.0,17.1,3,5
850.0,17.2,3,1
850.0,17.2,3,3
850.0,17.2,3,5
850.0,17.3,3,1
850.0,17.3,3,3
850.0,17.3,3,5
850.0,17.4,3,1
850.0,17.4,3,3
850.0,17.4,3,5
850.0,17.5,3,1
850.0,17.5,3,3
850.0,17.5,3,5
850.0,17.6,3,1
850.0,17.6,3,3
850.0,17.6,3,4
850.0,17.7,3,1
850.0,17.7,3,3
850.0,17.7,3,4
850.0,17.8,3,1
850.0,17.8,3,4
850.0,17.8,3,5
850.0,17.9,3,1
850.0,17.9,3,4
850.0,17.9,3,5
850.0,18.0,3,1
850.0,18.0,3,4
850.0,18.0,3,5
850.0,18.1,3,1
850.0,18.1,3,4
850.0,18.1,3,5
850.0,18.2,3,1
850.0,18.2,3,4
850.0,18.2,3,5
850.0,18.3,3,1
850.0,18.3,3,4
850.0,18.3,3,5
850.0,18.4,3,1
850.0,18.4,3,4
850.0,18.4,3,5
850.0,18.5,3,1
850.0,18.5,3,4
850.0,18.5,3,5
850.0,18.6,3,1
850.0,18.6,3,3
850.0,18.6,3,4
850.0,18.7,3,1
850.0,18.7,3,3
850.0,18.7,3,4
850.0,18.8,3,1
850.0,18.8,3,3
850.0,18.8,3,4
850.0,18.9,3,1
850.0,18.9,3,3
850.0,18.9,3,4
850.0,19.0,3,1
850.0,19.0,3,3
850.0,19.0,3,4
850.0,19.1,3,1
850.0,19.1,3,3
850.0,19.1,3,4
850.0,19.2,3,1
850.0,19.2,3,3
850.0,19.2,3,4
850.0,19.3,3,1
850.0,19.3,3,4
850.0,19.3,3,5
850.0,19.4,3,1
850.0,19.4,3,5
850.0,19.4,3,6
850.0,19.5,3,1
850.0,19.5,3,5
850.0,19.5,3,7
850.0,19.6,3,1
850.0,19.6,3,4
850.0,19.6,3,6
850.0,19.7,3,1
850.0,19.7,3,5
850.0,19.7,3,7
850.0,19.8,3,1
850.0,19.8,3,5
850.0,19.8,3,8
850.0,19.9,3,1
850.0,19.9,3,5
850.0,19.9,3,8
850.0,20.0,3,1
850.0,20.0,3,5
850.0,20.0,3,8
850.0,20.1,3,1
850.0,20.1,3,4
850.0,20.1,3,7
850.0,20.2,3,1
850.0,20.2,3,4
850.0,20.2,3,7
850.0,20.3,3,1
850.0,20.3,3,4
850.0,20.3,3,7
850.0,20.4,3,1
850.0,20.4,3,4
850.0,20.4,3,6
850.0,20.5,3,1
850.0,20.5,3,4
850.0,20.5,3,6
850.0,20.6,3,1
850.0,20.6,3,4
850.0,20.6,3,5
850.0,20.7,3,1
850.0,20.7,3,4
850.0,20.7,3,5
850.0,20.8,3,1
850.0,20.8,3,4
850.0,20.8,3,5
850.0,20.9,3,1
850.0,20.9,3,4
850.0,20.9,3,6
850.0,21.0,3,1
850.0,21.0,3,4
850.0,21.0,3,6
850.0,21.1,3,1
850.0,21.1,3,4
850.0,21.1,3,6
850.0,21.2,3,1
850.0,21.2,3,4
850.0,21.2,3,6
850.0,21.3,3,1
850.0,21.3,3,4
850.0,21.3,3,6
850.0,21.4,3,1
850.0,21.4,3,6
850.0,21.4,3,8
850.0,21.5,3,1
850.0,21.5,3,6
850.0,21.5,3,7
850.0,21.6,3,1
850.0,21.6,3,6
850.0,21.6,3,7
850.0,21.7,3,1
850.0,21.7,3,6
850.0,21.7,3,7
850.0,21.8,3,1
850.0,21.8,3,5
850.0,21.8,3,6
850.0,21.9,3,1
850.0,21.9,3,5
850.0,21.9,3,6
850.0,22.0,3,1
850.0,22.0,3,5
850.0,22.0,3,6
850.0,22.1,3,1
850.0,22.1,3,5
850.0,22.1,3,6
850.0,22.2,3,1
850.0,22.2,3,5
850.0,22.2,3,6
850.0,22.3,3,1
850.0,22.3,3,5
850.0,22.3,3,6
850.0,22.4,3,1
850.0,22.4,3,5
850.0,22.4,3,6
850.0,22.5,3,1
850.0,22.5,3,5
850.0,22.5,3,6
850.0,22.6,3,1
850.0,22.6,3,5
850.0,22.6,3,6
850.0,22.7,3,1
850.0,22.7,3,5
850.0,22.7,3,6
850.0,22.8,3,1
850.0,22.8,3,5
850.0,22.8,3,7
850.0,22.9,3,1
850.0,22.9,3,5
850.0,22.9,3,6
850.0,23.0,3,1
850.0,23.0,3,5
850.0,23.0,3,6
850.0,23.1,3,1
850.0,23.1,3,5
850.0,23.1,3,6
850.0,23.2,3,1
850.0,23.2,3,5
850.0,23.2,3,6
850.0,23.3,3,1
850.0,23.3,3,4
850.0,23.3,3,5
850.0,23.4,3,1
850.0,23.4,3,4
850.0,23.4,3,6
850.0,23.5,3,1
850.0,23.5,3,4
850.0,23.5,3,6
850.0,23.6,3,1
850.0,23.6,3,4
850.0,23.6,3,6
850.0,23.7,3,1
850.0,23.7,3,4
850.0,23.7,3,6
850.0,23.8,3,1
850.0,23.8,3,4
850.0,23.8,3,7
850.0,23.9,3,1
850.0,23.9,3,4
850.0,23.9,3,7
850.0,24.0,3,1
850.0,24.0,3,4
850.0,24.0,3,8
850.0,24.1,3,1
850.0,24.1,3,4
850.0,24.1,3,8
850.0,24.2,3,1
850.0,24.2,3,4
850.0,24.2,3,8
850.0,24.3,3,1
850.0,24.3,3,4
850.0,24.3,3,8
850.0,24.4,3,1
850.0,24.4,3,4
850.0,24.4,3,8
850.0,24.5,3,1
850.0,24.5,3,4
850.0,24.5,3,7
850.0,24.6,3,1
850.0,24.6,3,3
850.0,24.6,3,6
850.0,24.7,3,1
850.0,24.7,3,3
850.0,24.7,3,6
850.0,24.8,3,1
850.0,24.8,3,3
850.0,24.8,3,6
850.0,24.9,3,1
850.0,24.9,3,3
850.0,24.9,3,7
850.0,25.0,3,1
850.0,25.0,3,3
850.0,25.0,3,7
850.0,25.1,3,1
850.0,25.1,3,3
850.0,25.1,3,7
850.0,25.2,3,1
850.0,25.2,3,3
850.0,25.2,3,7
850.0,25.3,3,1
850.0,25.3,3,3
850.0,25.3,3,7
850.0,25.4,3,1
850.0,25.4,3,3
850.0,25.4,3,7
850.0,25.5,3,1
850.0,25.5,3,3
850.0,25.5,3,7
850.0,25.6,3,1
850.0,25.6,3,3
850.0,25.6,3,7
850.0,25.7,3,1
850.0,25.7,3,2
850.0,25.7,3,6
850.0,25.8,3,1
850.0,25.8,3,2
850.0,25.8,3,5
850.0,25.9,3,1
850.0,25.9,3,2
850.0,25.9,3,5
850.0,26.0,3,1
850.0,26.0,3,2
850.0,26.0,3,4
850.0,26.1,3,1
850.0,26.1,3,2
850.0,26.1,3,4
850.0,26.2,3,1
850.0,26.2,3,2
850.0,26.2,3,4
850.0,26.3,3,1
850.0,26.3,3,3
850.0,26.3,3,5
850.0,26.4,3,1
850.0,26.4,3,3
850.0,26.4,3,4
850.0,26.5,3,1
850.0,26.5,3,2
850.0,26.5,3,3
850.0,26.6,3,1
850.0,26.6,3,2
850.0,26.6,3,3
850.0,26.7,3,1
850.0,26.7,3,2
850.0,26.7,3,3
850.0,26.8,3,1
850.0,26.8,3,2
850.0,26.8,3,3
850.0,26.9,3,1
850.0,26.9,3,2
850.0,26.9,3,3
850.0,27.0,3,1
850.0,27.0,3,2
850.0,27.0,3,3
850.0,27.1,3,1
850.0,27.1,3,2
850.0,27.1,3,3
850.0,27.2,3,1
850.0,27.2,3,3
850.0,27.2,3,4
850.0,27.3,3,1
850.0,27.3,3,5
850.0,27.3,3,6
850.0,27.4,3,1
850.0,27.4,3,5
850.0,27.4,3,6
850.0,27.5,3,1
850.0,27.5,3,5
850.0,27.5,3,6
850.0,27.6,3,1
850.0,27.6,3,4
850.0,27.6,3,5
850.0,27.7,3,1
850.0,27.7,3,4
850.0,27.7,3,5
850.0,27.8,3,1
850.0,27.8,3,4
850.0,27.8,3,5
850.0,27.9,3,1
850.0,27.9,3,4
850.0,27.9,3,5
850.0,28.0,3,1
850.0,28.0,3,4
850.0,28.0,3,5
850.0,28.1,3,1
850.0,28.1,3,4
850.0,28.1,3,5
850.0,28.2,3,1
850.0,28.2,3,4
850.0,28.2,3,5
850.0,28.3,3,1
850.0,28.3,3,3
850.0,28.3,3,4
850.0,28.4,3,1
850.0,28.4,3,3
850.0,28.4,3,4
850.0,28.5,3,1
850.0,28.5,3,3
850.0,28.5,3,4
850.0,28.6,3,1
850.0,28.6,3,4
850.0,28.6,3,5
850.0,28.7,3,1
850.0,28.7,3,4
850.0,28.7,3,5
850.0,28.8,3,1
850.0,28.8,3,4
850.0,28.8,3,5
850.0,28.9,3,1
850.0,28.9,3,4
850.0,28.9,3,5
850.0,29.0,3,1
850.0,29.0,3,3
850.0,29.0,3,4
850.0,29.1,3,1
850.0,29.1,3,3
850.0,29.1,3,4
850.0,29.2,3,1
850.0,29.2,3,3
850.0,29.2,3,4
850.0,29.3,3,1
850.0,29.3,3,3
850.0,29.3,3,5
850.0,29.4,3,1
850.0,29.4,3,3
850.0,29.4,3,5
850.0,29.5,3,1
850.0,29.5,3,3
850.0,29.5,3,5
850.0,29.6,3,1
850.0,29.6,3,3
850.0,29.6,3,5
850.0,29.7,3,1
850.0,29.7,3,3
850.0,29.7,3,5
850.0,29.8,3,1
850.0,29.8,3,3
850.0,29.8,3,5
850.0,29.9,3,1
850.0,29.9,3,3
850.0,29.9,3,5
850.0,30.0,3,1
850.0,30.0,3,3
850.0,30.0,3,6
850.0,30.1,3,1
850.0,30.1,3,3
850.0,30.1,3,6
850.0,30.2,3,1
850.0,30.2,3,3
850.0,30.2,3,6
850.0,30.3,3,1
850.0,30.3,3,3
850.0,30.3,3,6
850.0,30.4,3,1
850.0,30.4,3,3
850.0,30.4,3,6
850.0,30.5,3,1
850.0,30.5,3,3
850.0,30.5,3,6
850.0,30.6,3,1
850.0,30.6,3,3
850.0,30.6,3,7
850.0,30.7,3,1
850.0,30.7,3,3
850.0,30.7,3,7
850.0,30.8,2,1
850.0,30.8,2,7
850.0,30.9,2,1
850.0,30.9,2,7
850.0,31.0,2,1
850.0,31.0,2,7
850.0,31.1,2,1
850.0,31.1,2,6
850.0,31.2,2,1
850.0,31.2,2,6
850.0,31.3,2,1
850.0,31.3,2,6
850.0,31.4,2,1
850.0,31.4,2,6
850.0,31.5,2,1
850.0,31.5,2,6
850.0,31.6,2,1
850.0,31.6,2,6
850.0,31.7,2,1
850.0,31.7,2,6
850.0,31.8,2,1
850.0,31.8,2,6
850.0,31.9,2,1
850.0,31.9,2,7
850.0,32.0,2,1
850.0,32.0,2,7
850.0,32.1,2,1
850.0,32.1,2,7
850.0,32.2,2,1
850.0,32.2,2,7
850.0,32.3,2,1
850.0,32.3,2,6
850.0,32.4,2,1
850.0,32.4,2,6
850.0,32.5,2,1
850.0,32.5,2,6
850.0,32.6,2,1
850.0,32.6,2,6
850.0,32.7,2,1
850.0,32.7,2,6
850.0,32.8,2,1
850.0,32.8,2,6
850.0,32.9,2,1
850.0,32.9,2,7
850.0,33.0,2,1
850.0,33.0,2,8
850.0,33.1,2,1
850.0,33.1,2,8
850.0,33.2,2,1
850.0,33.2,2,8
850.0,33.3,2,1
850.0,33.3,2,8
850.0,33.4,2,1
850.0,33.4,2,8
850.0,33.5,2,1
850.0,33.5,2,8
850.0,33.6,2,1
850.0,33.6,2,6
850.0,33.7,2,1
850.0,33.7,2,6
850.0,33.8,2,1
850.0,33.8,2,5
850.0,33.9,2,1
850.0,33.9,2,5
850.0,34.0,2,1
850.0,34.0,2,5
850.0,34.1,2,1
850.0,34.1,2,5
850.0,34.2,2,1
850.0,34.2,2,5
850.0,34.3,2,1
850.0,34.3,2,5
850.0,34.4,2,1
850.0,34.4,2,5
850.0,34.5,2,1
850.0,34.5,2,5
850.0,34.6,2,1
850.0,34.6,2,5
850.0,34.7,2,1
850.0,34.7,2,5
850.0,34.8,2,1
850.0,34.8,2,4
850.0,34.9,2,1
850.0,34.9,2,3
850.0,35.0,2,1
850.0,35.0,2,3
850.0,35.1,2,1
850.0,35.1,2,3
850.0,35.2,2,1
850.0,35.2,2,3
850.0,35.3,2,1
850.0,35.3,2,3
850.0,35.4,2,1
850.0,35.4,2,3
850.0,35.5,2,1
850.0,35.5,2,3
850.0,35.6,2,1
850.0,35.6,2,3
850.0,35.7,2,1
850.0,35.7,2,3
850.0,35.8,2,1
850.0,35.8,2,3
850.0,35.9,2,1
850.0,35.9,2,3
850.0,36.0,2,1
850.0,36.0,2,3
850.0,36.1,2,1
850.0,36.1,2,3
850.0,36.2,2,1
850.0,36.2,2,3
850.0,36.3,1,3
