level,value,number_of_labels,label
900.0,4.3,6,14
900.0,4.4,6,5
900.0,4.4,6,7
900.0,4.4,6,10
900.0,4.4,6,11
900.0,4.4,6,12
900.0,4.4,6,13
900.0,4.5,6,4
900.0,4.5,6,8
900.0,4.5,6,10
900.0,4.5,6,11
900.0,4.5,6,12
900.0,4.5,6,13
900.0,4.6,6,3
900.0,4.6,6,6
900.0,4.6,6,8
900.0,4.6,6,9
900.0,4.6,6,10
900.0,4.6,6,11
900.0,4.7,6,3
900.0,4.7,6,5
900.0,4.7,6,7
900.0,4.7,6,8
900.0,4.7,6,9
900.0,4.7,6,10
900.0,4.8,6,3
900.0,4.8,6,6
900.0,4.8,6,9
900.0,4.8,6,10
900.0,4.8,6,11
900.0,4.8,6,12
900.0,4.9,5,1
900.0,4.9,5,4
900.0,4.9,5,7
900.0,4.9,5,9
900.0,4.9,5,10
900.0,5.0,4,1
900.0,5.0,4,5
900.0,5.0,4,8
900.0,5.0,4,9
900.0,5.1,4,1
900.0,5.1,4,5
900.0,5.1,4,7
900.0,5.1,4,8
900.0,5.2,4,1
900.0,5.2,4,4
900.0,5.2,4,6
900.0,5.2,4,7
900.0,5.3,4,1
900.0,5.3,4,3
900.0,5.3,4,5
900.0,5.3,4,6
900.0,5.4,4,1
900.0,5.4,4,3
900.0,5.4,4,4
900.0,5.4,4,5
900.0,5.5,4,1
900.0,5.5,4,3
900.0,5.5,4,4
900.0,5.5,4,5
900.0,5.6,4,1
900.0,5.6,4,5
900.0,5.6,4,6
900.0,5.6,4,8
900.0,5.7,4,1
900.0,5.7,4,4
900.0,5.7,4,5
900.0,5.7,4,6
900.0,5.8,4,1
900.0,5.8,4,4
900.0,5.8,4,5
900.0,5.8,4,6
900.0,5.9,3,1
900.0,5.9,3,5
900.0,5.9,3,6
900.0,6.0,3,1
900.0,6.0,3,5
900.0,6.0,3,6
900.0,6.1,3,1
900.0,6.1,3,5
900.0,6.1,3,6
900.0,6.2,3,1
900.0,6.2,3,5
900.0,6.2,3,6
900.0,6.3,3,1
900.0,6.3,3,4
900.0,6.3,3,5
900.0,6.4,3,2
900.0,6.4,3,4
900.0,6.4,3,5
900.0,6.5,3,1
900.0,6.5,3,2
900.0,6.5,3,3
900.0,6.6,3,3
900.0,6.6,3,4
900.0,6.6,3,5
900.0,6.7,3,2
900.0,6.7,3,3
900.0,6.7,3,4
900.0,6.8,3,2
900.0,6.8,3,3
900.0,6.8,3,4
900.0,6.9,3,1
900.0,6.9,3,2
900.0,6.9,3,3
900.0,7.0,2,3
900.0,7.0,2,4
900.0,7.1,2,3
900.0,7.1,2,4
900.0,7.2,2,2
900.0,7.2,2,3
900.0,7.3,3,1
900.0,7.3,3,2
900.0,7.3,3,6
900.0,7.4,2,1
900.0,7.4,2,2
900.0,7.5,2,1
900.0,7.5,2,2
900.0,7.6,2,1
900.0,7.6,2,2
900.0,7.7,2,1
900.0,7.7,2,2
900.0,7.8,2,1
900.0,7.8,2,2
900.0,7.9,2,1
900.0,7.9,2,2
900.0,8.0,2,1
900.0,8.0,2,2
900.0,8.1,2,1
900.0,8.1,2,2
900.0,8.2,2,1
900.0,8.2,2,2
900.0,8.3,2,1
900.0,8.3,2,2
900.0,8.4,2,1
900.0,8.4,2,2
900.0,8.5,2,1
900.0,8.5,2,2
900.0,8.6,2,1
900.0,8.6,2,2
900.0,8.7,2,1
900.0,8.7,2,2
900.0,8.8,2,1
900.0,8.8,2,2
900.0,8.9,2,1
900.0,8.9,2,2
900.0,9.0,3,1
900.0,9.0,3,2
900.0,9.0,3,4
900.0,9.1,3,1
900.0,9.1,3,2
900.0,9.1,3,4
900.0,9.2,3,1
900.0,9.2,3,2
900.0,9.2,3,3
900.0,9.3,3,1
900.0,9.3,3,2
900.0,9.3,3,3
900.0,9.4,3,1
900.0,9.4,3,2
900.0,9.4,3,4
900.0,9.5,2,1
900.0,9.5,2,2
900.0,9.6,2,1
900.0,9.6,2,2
900.0,9.7,2,1
900.0,9.7,2,2
900.0,9.8,3,1
900.0,9.8,3,2
900.0,9.8,3,4
900.0,9.9,3,1
900.0,9.9,3,2
900.0,9.9,3,4
900.0,10.0,2,1
900.0,10.0,2,2
900.0,10.1,2,1
900.0,10.1,2,2
900.0,10.2,2,1
900.0,10.2,2,2
900.0,10.3,2,1
900.0,10.3,2,2
900.0,10.4,2,1
900.0,10.4,2,2
900.0,10.5,2,1
900.0,10.5,2,2
900.0,10.6,2,1
900.0,10.6,2,2
900.0,10.7,2,1
900.0,10.7,2,2
900.0,10.8,2,1
900.0,10.8,2,2
900.0,10.9,2,1
900.0,10.9,2,2
900.0,11.0,2,1
900.0,11.0,2,2
900.0,11.1,2,1
900.0,11.1,2,2
900.0,11.2,2,1
900.0,11.2,2,2
900.0,11.3,2,1
900.0,11.3,2,3
900.0,11.4,2,1
900.0,11.4,2,3
900.0,11.5,2,1
900.0,11.5,2,3
900.0,11.6,2,1
900.0,11.6,2,3
900.0,11.7,2,1
900.0,11.7,2,2
900.0,11.8,2,1
900.0,11.8,2,2
900.0,11.9,2,1
900.0,11.9,2,2
900.0,12.0,2,1
900.0,12.0,2,2
900.0,12.1,2,1
900.0,12.1,2,2
900.0,12.2,2,1
900.0,12.2,2,2
900.0,12.3,2,1
900.0,12.3,2,2
900.0,12.4,2,1
900.0,12.4,2,2
900.0,12.5,2,1
900.0,12.5,2,2
900.0,12.6,2,1
900.0,12.6,2,2
900.0,12.7,2,1
900.0,12.7,2,2
900.0,12.8,2,1
900.0,12.8,2,2
900.0,12.9,2,1
900.0,12.9,2,3
900.0,13.0,2,1
900.0,13.0,2,3
900.0,13.1,2,1
900.0,13.1,2,3
900.0,13.2,2,1
900.0,13.2,2,3
900.0,13.3,2,1
900.0,13.3,2,3
900.0,13.4,2,1
900.0,13.4,2,3
900.0,13.5,2,1
900.0,13.5,2,3
900.0,13.6,2,1
900.0,13.6,2,3
900.0,13.7,2,1
900.0,13.7,2,4
900.0,13.8,2,1
900.0,13.8,2,4
900.0,13.9,2,1
900.0,13.9,2,4
900.0,14.0,2,1
900.0,14.0,2,4
900.0,14.1,2,1
900.0,14.1,2,4
900.0,14.2,2,1
900.0,14.2,2,4
900.0,14.3,2,1
900.0,14.3,2,3
900.0,14.4,2,1
900.0,14.4,2,2
900.0,14.5,2,1
900.0,14.5,2,2
900.0,14.6,2,1
900.0,14.6,2,2
900.0,14.7,2,1
900.0,14.7,2,2
900.0,14.8,2,1
900.0,14.8,2,2
900.0,14.9,2,1
900.0,14.9,2,2
900.0,15.0,2,1
900.0,15.0,2,2
900.0,15.1,2,1
900.0,15.1,2,2
900.0,15.2,2,1
900.0,15.2,2,2
900.0,15.3,2,1
900.0,15.3,2,3
900.0,15.4,2,1
900.0,15.4,2,3
900.0,15.5,2,1
900.0,15.5,2,3
900.0,15.6,2,1
900.0,15.6,2,3
900.0,15.7,2,1
900.0,15.7,2,3
900.0,15.8,2,1
900.0,15.8,2,2
900.0,15.9,2,1
900.0,15.9,2,2
900.0,16.0,2,1
900.0,16.0,2,2
900.0,16.1,2,1
900.0,16.1,2,2
900.0,16.2,2,1
900.0,16.2,2,2
900.0,16.3,2,1
900.0,16.3,2,2
900.0,16.4,2,1
900.0,16.4,2,2
900.0,16.5,2,1
900.0,16.5,2,2
900.0,16.6,3,1
900.0,16.6,3,2
900.0,16.6,3,5
900.0,16.7,2,1
900.0,16.7,2,4
900.0,16.8,2,1
900.0,16.8,2,4
900.0,16.9,2,1
900.0,16.9,2,4
900.0,17.0,2,1
900.0,17.0,2,4
900.0,17.1,2,1
900.0,17.1,2,4
900.0,17.2,2,1
900.0,17.2,2,4
900.0,17.3,2,1
900.0,17.3,2,4
900.0,17.4,2,1
900.0,17.4,2,4
900.0,17.5,2,1
900.0,17.5,2,4
900.0,17.6,2,1
900.0,17.6,2,4
900.0,17.7,2,1
900.0,17.7,2,4
900.0,17.8,2,1
900.0,17.8,2,4
900.0,17.9,3,1
900.0,17.9,3,4
900.0,17.9,3,6
900.0,18.0,2,1
900.0,18.0,2,6
900.0,18.1,2,1
900.0,18.1,2,7
900.0,18.2,2,1
900.0,18.2,2,7
900.0,18.3,2,1
900.0,18.3,2,6
900.0,18.4,2,1
900.0,18.4,2,5
900.0,18.5,2,1
900.0,18.5,2,6
900.0,18.6,2,1
900.0,18.6,2,8
900.0,18.7,2,1
900.0,18.7,2,8
900.0,18.8,1,1
900.0,18.9,1,1
900.0,19.0,1,1
900.0,19.1,1,1
900.0,19.2,1,1
900.0,19.3,1,1
900.0,19.4,1,1
900.0,19.5,1,1
900.0,19.6,1,1
900.0,19.7,1,1
900.0,19.8,1,1
900.0,19.9,1,1
900.0,20.0,1,1
900.0,20.1,1,1
900.0,20.2,1,1
900.0,20.3,1,1
900.0,20.4,1,1
900.0,20.5,1,1
900.0,20.6,1,1
900.0,20.7,1,1
900.0,20.8,1,1
900.0,20.9,1,1
900.0,21.0,1,1
900.0,21.1,1,1
900.0,21.2,1,1
900.0,21.3,1,1
900.0,21.4,1,1
900.0,21.5,1,1
900.0,21.6,1,1
900.0,21.7,1,1
900.0,21.8,1,1
900.0,21.9,1,1
900.0,22.0,1,1
900.0,22.1,1,1
900.0,22.2,1,1
900.0,22.3,1,1
900.0,22.4,1,1
900.0,22.5,1,1
900.0,22.6,1,1
900.0,22.7,1,1
900.0,22.8,1,1
900.0,22.9,1,1
900.0,23.0,1,1
900.0,23.1,1,1
900.0,23.2,1,1
900.0,23.3,1,1
900.0,23.4,1,1
900.0,23.5,1,1
900.0,23.6,1,1
900.0,23.7,1,1
900.0,23.8,1,1
900.0,23.9,1,1
900.0,24.0,1,1
900.0,24.1,1,1
900.0,24.2,1,1
900.0,24.3,1,1
900.0,24.4,1,1
900.0,24.5,1,1
900.0,24.6,1,1
900.0,24.7,1,1
900.0,24.8,1,1
900.0,24.9,1,1
900.0,25.0,1,1
900.0,25.1,1,1
900.0,25.2,1,1
900.0,25.3,1,1
900.0,25.4,1,1
900.0,25.5,1,1
900.0,25.6,1,1
900.0,25.7,1,1
900.0,25.8,1,1
900.0,25.9,1,1
900.0,26.0,1,1
900.0,26.1,1,1
900.0,26.2,1,1
900.0,26.3,1,1
900.0,26.4,1,1
900.0,26.5,1,1
900.0,26.6,1,1
900.0,26.7,1,1
900.0,26.8,1,1
900.0,26.9,1,1
900.0,27.0,1,1
900.0,27.1,1,1
900.0,27.2,1,1
900.0,27.3,1,1
900.0,27.4,1,1
900.0,27.5,1,1
900.0,27.6,1,1
900.0,27.7,1,1
900.0,27.8,1,1
900.0,27.9,1,1
900.0,28.0,1,1
900.0,28.1,1,1
900.0,28.2,1,1
900.0,28.3,1,1
900.0,28.4,1,1
900.0,28.5,1,1
900.0,28.6,1,1
900.0,28.7,1,1
900.0,28.8,1,1
900.0,28.9,1,1
900.0,29.0,1,1
900.0,29.1,1,1
900.0,29.2,1,1
900.0,29.3,1,1
900.0,29.4,1,1
900.0,29.5,1,1
900.0,29.6,1,1
900.0,29.7,1,1
900.0,29.8,1,1
900.0,29.9,1,1
900.0,30.0,1,1
900.0,30.1,1,1
900.0,30.2,1,1
900.0,30.3,1,1
900.0,30.4,1,1
900.0,30.5,1,1
900.0,30.6,1,1
900.0,30.7,1,1
900.0,30.8,1,1
900.0,30.9,1,1
900.0,31.0,1,1
900.0,31.1,1,1
900.0,31.2,1,1
900.0,31.3,1,1
900.0,31.4,1,1
900.0,31.5,1,1
900.0,31.6,1,1
900.0,31.7,1,1
900.0,31.8,1,1
900.0,31.9,1,1
900.0,32.0,1,1
900.0,32.1,1,1
900.0,32.2,1,1
900.0,32.3,1,1
900.0,32.4,1,1
900.0,32.5,1,1
900.0,32.6,1,1
900.0,32.7,1,1
900.0,32.8,1,1
900.0,32.9,1,1
900.0,33.0,1,1
900.0,33.1,1,1
900.0,33.2,1,1
900.0,33.3,1,1
900.0,33.4,1,1
900.0,33.5,1,1
900.0,33.6,1,1
900.0,33.7,1,1
900.0,33.8,1,1
900.0,33.9,1,1
900.0,34.0,1,1
900.0,34.1,1,1
900.0,34.2,1,1
900.0,34.3,1,1
900.0,34.4,1,1
900.0,34.5,1,1
900.0,34.6,1,1
900.0,34.7,1,1
900.0,34.8,1,1
900.0,34.9,1,1
900.0,35.0,1,1
900.0,35.1,1,1
900.0,35.2,1,1
900.0,35.3,1,1
900.0,35.4,1,1
900.0,35.5,1,1
900.0,35.6,1,1
900.0,35.7,1,1
900.0,35.8,1,1
900.0,35.9,1,1
900.0,36.0,1,1
900.0,36.1,1,1
900.0,36.2,1,1
900.0,36.3,1,1
900.0,36.4,1,1
900.0,36.5,1,1
900.0,36.6,1,1
900.0,36.7,1,1
900.0,36.8,1,1
900.0,36.9,1,1
900.0,37.0,1,1
900.0,37.1,1,1
900.0,37.2,1,1
