level,value,number_of_labels,label
900.0,6.1,1,1
900.0,6.2,1,1
900.0,6.3,1,1
900.0,6.4,1,1
900.0,6.5,1,1
900.0,6.6,1,1
900.0,6.7,1,1
900.0,6.8,1,1
900.0,6.9,1,1
900.0,7.0,1,1
900.0,7.1,1,1
900.0,7.2,1,1
900.0,7.3,1,1
900.0,7.4,1,1
900.0,7.5,1,1
900.0,7.6,1,1
900.0,7.7,1,1
900.0,7.8,1,1
900.0,7.9,1,1
900.0,8.0,1,1
900.0,8.1,1,1
900.0,8.2,1,1
900.0,8.3,1,1
900.0,8.4,1,1
900.0,8.5,1,1
900.0,8.6,1,1
900.0,8.7,1,1
900.0,8.8,1,1
900.0,8.9,1,1
900.0,9.0,1,1
900.0,9.1,1,1
900.0,9.2,1,1
900.0,9.3,1,1
