level,value,number_of_labels,label
400.0,3.6,3,1
400.0,3.6,3,3
400.0,3.6,3,8
400.0,3.7,3,1
400.0,3.7,3,3
400.0,3.7,3,12
400.0,3.8,3,1
400.0,3.8,3,4
400.0,3.8,3,11
400.0,3.9,4,1
400.0,3.9,4,2
400.0,3.9,4,4
400.0,3.9,4,10
400.0,4.0,3,1
400.0,4.0,3,6
400.0,4.0,3,10
400.0,4.1,3,1
400.0,4.1,3,5
400.0,4.1,3,8
400.0,4.2,3,1
400.0,4.2,3,4
400.0,4.2,3,12
400.0,4.3,4,1
400.0,4.3,4,5
400.0,4.3,4,6
400.0,4.3,4,10
400.0,4.4,4,1
400.0,4.4,4,5
400.0,4.4,4,6
400.0,4.4,4,10
400.0,4.5,4,1
400.0,4.5,4,6
400.0,4.5,4,7
400.0,4.5,4,10
400.0,4.6,4,1
400.0,4.6,4,5
400.0,4.6,4,6
400.0,4.6,4,12
400.0,4.7,4,1
400.0,4.7,4,4
400.0,4.7,4,5
400.0,4.7,4,11
400.0,4.8,4,1
400.0,4.8,4,4
400.0,4.8,4,5
400.0,4.8,4,13
400.0,4.9,5,1
400.0,4.9,5,4
400.0,4.9,5,5
400.0,4.9,5,6
400.0,4.9,5,15
400.0,5.0,5,1
400.0,5.0,5,3
400.0,5.0,5,4
400.0,5.0,5,5
400.0,5.0,5,14
400.0,5.1,8,1
400.0,5.1,8,2
400.0,5.1,8,4
400.0,5.1,8,5
400.0,5.1,8,7
400.0,5.1,8,11
400.0,5.1,8,17
400.0,5.1,8,19
400.0,5.2,8,1
400.0,5.2,8,2
400.0,5.2,8,3
400.0,5.2,8,6
400.0,5.2,8,10
400.0,5.2,8,14
400.0,5.2,8,15
400.0,5.2,8,17
400.0,5.3,8,1
400.0,5.3,8,2
400.0,5.3,8,3
400.0,5.3,8,5
400.0,5.3,8,11
400.0,5.3,8,15
400.0,5.3,8,16
400.0,5.3,8,19
400.0,5.4,7,1
400.0,5.4,7,4
400.0,5.4,7,9
400.0,5.4,7,14
400.0,5.4,7,18
400.0,5.4,7,19
400.0,5.4,7,22
400.0,5.5,6,1
400.0,5.5,6,4
400.0,5.5,6,5
400.0,5.5,6,10
400.0,5.5,6,15
400.0,5.5,6,21
400.0,5.6,5,1
400.0,5.6,5,3
400.0,5.6,5,4
400.0,5.6,5,13
400.0,5.6,5,17
400.0,5.7,5,1
400.0,5.7,5,2
400.0,5.7,5,5
400.0,5.7,5,12
400.0,5.7,5,14
400.0,5.8,5,1
400.0,5.8,5,2
400.0,5.8,5,4
400.0,5.8,5,11
400.0,5.8,5,13
400.0,5.9,5,1
400.0,5.9,5,2
400.0,5.9,5,4
400.0,5.9,5,10
400.0,5.9,5,12
400.0,6.0,6,1
400.0,6.0,6,2
400.0,6.0,6,3
400.0,6.0,6,4
400.0,6.0,6,8
400.0,6.0,6,10
400.0,6.1,6,1
400.0,6.1,6,2
400.0,6.1,6,3
400.0,6.1,6,4
400.0,6.1,6,7
400.0,6.1,6,9
400.0,6.2,6,1
400.0,6.2,6,2
400.0,6.2,6,3
400.0,6.2,6,4
400.0,6.2,6,7
400.0,6.2,6,10
400.0,6.3,6,1
400.0,6.3,6,2
400.0,6.3,6,3
400.0,6.3,6,4
400.0,6.3,6,6
400.0,6.3,6,9
400.0,6.4,6,2
400.0,6.4,6,3
400.0,6.4,6,4
400.0,6.4,6,5
400.0,6.4,6,10
400.0,6.4,6,13
400.0,6.5,5,2
400.0,6.5,5,3
400.0,6.5,5,6
400.0,6.5,5,7
400.0,6.5,5,12
400.0,6.6,5,3
400.0,6.6,5,4
400.0,6.6,5,6
400.0,6.6,5,7
400.0,6.6,5,12
400.0,6.7,5,2
400.0,6.7,5,3
400.0,6.7,5,5
400.0,6.7,5,6
400.0,6.7,5,11
400.0,6.8,5,3
400.0,6.8,5,5
400.0,6.8,5,6
400.0,6.8,5,10
400.0,6.8,5,11
400.0,6.9,5,3
400.0,6.9,5,5
400.0,6.9,5,6
400.0,6.9,5,9
400.0,6.9,5,10
400.0,7.0,5,2
400.0,7.0,5,3
400.0,7.0,5,4
400.0,7.0,5,6
400.0,7.0,5,7
400.0,7.1,5,2
400.0,7.1,5,3
400.0,7.1,5,4
400.0,7.1,5,6
400.0,7.1,5,7
400.0,7.2,5,3
400.0,7.2,5,4
400.0,7.2,5,5
400.0,7.2,5,8
400.0,7.2,5,9
400.0,7.3,5,3
400.0,7.3,5,4
400.0,7.3,5,5
400.0,7.3,5,8
400.0,7.3,5,9
400.0,7.4,5,2
400.0,7.4,5,3
400.0,7.4,5,4
400.0,7.4,5,6
400.0,7.4,5,7
400.0,7.5,5,2
400.0,7.5,5,3
400.0,7.5,5,4
400.0,7.5,5,6
400.0,7.5,5,7
400.0,7.6,5,1
400.0,7.6,5,2
400.0,7.6,5,3
400.0,7.6,5,5
400.0,7.6,5,8
400.0,7.7,5,1
400.0,7.7,5,2
400.0,7.7,5,3
400.0,7.7,5,5
400.0,7.7,5,7
400.0,7.8,5,1
400.0,7.8,5,2
400.0,7.8,5,3
400.0,7.8,5,6
400.0,7.8,5,8
400.0,7.9,5,1
400.0,7.9,5,2
400.0,7.9,5,3
400.0,7.9,5,5
400.0,7.9,5,7
400.0,8.0,5,1
400.0,8.0,5,2
400.0,8.0,5,4
400.0,8.0,5,6
400.0,8.0,5,8
400.0,8.1,5,1
400.0,8.1,5,2
400.0,8.1,5,4
400.0,8.1,5,6
400.0,8.1,5,8
400.0,8.2,5,1
400.0,8.2,5,2
400.0,8.2,5,3
400.0,8.2,5,5
400.0,8.2,5,7
400.0,8.3,5,1
400.0,8.3,5,2
400.0,8.3,5,3
400.0,8.3,5,6
400.0,8.3,5,8
400.0,8.4,5,1
400.0,8.4,5,2
400.0,8.4,5,3
400.0,8.4,5,7
400.0,8.4,5,9
400.0,8.5,5,1
400.0,8.5,5,2
400.0,8.5,5,3
400.0,8.5,5,7
400.0,8.5,5,9
400.0,8.6,5,1
400.0,8.6,5,2
400.0,8.6,5,5
400.0,8.6,5,9
400.0,8.6,5,11
400.0,8.7,5,1
400.0,8.7,5,2
400.0,8.7,5,5
400.0,8.7,5,9
400.0,8.7,5,11
400.0,8.8,5,1
400.0,8.8,5,2
400.0,8.8,5,5
400.0,8.8,5,9
400.0,8.8,5,11
400.0,8.9,5,1
400.0,8.9,5,3
400.0,8.9,5,5
400.0,8.9,5,8
400.0,8.9,5,10
400.0,9.0,5,1
400.0,9.0,5,3
400.0,9.0,5,5
400.0,9.0,5,8
400.0,9.0,5,10
400.0,9.1,5,1
400.0,9.1,5,3
400.0,9.1,5,5
400.0,9.1,5,8
400.0,9.1,5,10
400.0,9.2,4,1
400.0,9.2,4,3
400.0,9.2,4,4
400.0,9.2,4,7
400.0,9.3,4,3
400.0,9.3,4,4
400.0,9.3,4,5
400.0,9.3,4,8
400.0,9.4,3,2
400.0,9.4,3,3
400.0,9.4,3,5
400.0,9.5,3,2
400.0,9.5,3,3
400.0,9.5,3,4
400.0,9.6,3,2
400.0,9.6,3,3
400.0,9.6,3,4
400.0,9.7,3,1
400.0,9.7,3,2
400.0,9.7,3,3
400.0,9.8,3,1
400.0,9.8,3,2
400.0,9.8,3,3
400.0,9.9,3,1
400.0,9.9,3,2
400.0,9.9,3,3
400.0,10.0,3,1
400.0,10.0,3,2
400.0,10.0,3,3
400.0,10.1,3,1
400.0,10.1,3,2
400.0,10.1,3,3
400.0,10.2,3,1
400.0,10.2,3,2
400.0,10.2,3,3
400.0,10.3,3,1
400.0,10.3,3,2
400.0,10.3,3,3
400.0,10.4,3,1
400.0,10.4,3,2
400.0,10.4,3,3
400.0,10.5,3,1
400.0,10.5,3,2
400.0,10.5,3,3
400.0,10.6,3,1
400.0,10.6,3,2
400.0,10.6,3,3
400.0,10.7,3,1
400.0,10.7,3,2
400.0,10.7,3,3
400.0,10.8,3,1
400.0,10.8,3,2
400.0,10.8,3,3
400.0,10.9,3,1
400.0,10.9,3,2
400.0,10.9,3,3
400.0,11.0,3,1
400.0,11.0,3,2
400.0,11.0,3,3
400.0,11.1,3,1
400.0,11.1,3,2
400.0,11.1,3,4
400.0,11.2,3,1
400.0,11.2,3,2
400.0,11.2,3,4
400.0,11.3,3,1
400.0,11.3,3,2
400.0,11.3,3,4
400.0,11.4,3,1
400.0,11.4,3,3
400.0,11.4,3,4
400.0,11.5,3,1
400.0,11.5,3,3
400.0,11.5,3,4
400.0,11.6,3,1
400.0,11.6,3,3
400.0,11.6,3,4
400.0,11.7,3,1
400.0,11.7,3,2
400.0,11.7,3,3
400.0,11.8,3,1
400.0,11.8,3,2
400.0,11.8,3,3
400.0,11.9,3,1
400.0,11.9,3,2
400.0,11.9,3,3
400.0,12.0,3,1
400.0,12.0,3,2
400.0,12.0,3,3
400.0,12.1,3,1
400.0,12.1,3,2
400.0,12.1,3,5
400.0,12.2,3,1
400.0,12.2,3,2
400.0,12.2,3,4
400.0,12.3,4,1
400.0,12.3,4,2
400.0,12.3,4,5
400.0,12.3,4,6
400.0,12.4,4,1
400.0,12.4,4,2
400.0,12.4,4,5
400.0,12.4,4,7
400.0,12.5,4,1
400.0,12.5,4,2
400.0,12.5,4,4
400.0,12.5,4,6
400.0,12.6,4,1
400.0,12.6,4,2
400.0,12.6,4,4
400.0,12.6,4,5
400.0,12.7,4,1
400.0,12.7,4,2
400.0,12.7,4,4
400.0,12.7,4,5
400.0,12.8,4,2
400.0,12.8,4,3
400.0,12.8,4,5
400.0,12.8,4,6
400.0,12.9,3,3
400.0,12.9,3,4
400.0,12.9,3,8
400.0,13.0,3,3
400.0,13.0,3,4
400.0,13.0,3,7
400.0,13.1,3,3
400.0,13.1,3,4
400.0,13.1,3,7
400.0,13.2,3,3
400.0,13.2,3,4
400.0,13.2,3,8
400.0,13.3,3,3
400.0,13.3,3,4
400.0,13.3,3,7
400.0,13.4,3,3
400.0,13.4,3,4
400.0,13.4,3,8
400.0,13.5,3,3
400.0,13.5,3,4
400.0,13.5,3,9
400.0,13.6,3,3
400.0,13.6,3,4
400.0,13.6,3,8
400.0,13.7,3,3
400.0,13.7,3,4
400.0,13.7,3,7
400.0,13.8,3,3
400.0,13.8,3,4
400.0,13.8,3,7
400.0,13.9,3,1
400.0,13.9,3,2
400.0,13.9,3,5
400.0,14.0,3,1
400.0,14.0,3,2
400.0,14.0,3,6
400.0,14.1,3,1
400.0,14.1,3,2
400.0,14.1,3,6
400.0,14.2,3,1
400.0,14.2,3,2
400.0,14.2,3,6
400.0,14.3,3,1
400.0,14.3,3,2
400.0,14.3,3,5
400.0,14.4,3,2
400.0,14.4,3,3
400.0,14.4,3,6
400.0,14.5,3,1
400.0,14.5,3,2
400.0,14.5,3,5
400.0,14.6,2,1
400.0,14.6,2,2
400.0,14.7,2,1
400.0,14.7,2,2
400.0,14.8,2,1
400.0,14.8,2,2
400.0,14.9,2,1
400.0,14.9,2,2
400.0,15.0,2,1
400.0,15.0,2,2
400.0,15.1,2,1
400.0,15.1,2,2
400.0,15.2,2,1
400.0,15.2,2,2
400.0,15.3,2,1
400.0,15.3,2,2
400.0,15.4,2,1
400.0,15.4,2,2
400.0,15.5,2,1
400.0,15.5,2,2
400.0,15.6,2,1
400.0,15.6,2,2
400.0,15.7,2,1
400.0,15.7,2,2
400.0,15.8,2,1
400.0,15.8,2,2
400.0,15.9,2,1
400.0,15.9,2,2
400.0,16.0,2,1
400.0,16.0,2,2
400.0,16.1,2,1
400.0,16.1,2,2
400.0,16.2,2,1
400.0,16.2,2,2
400.0,16.3,2,1
400.0,16.3,2,2
400.0,16.4,2,1
400.0,16.4,2,2
400.0,16.5,3,1
400.0,16.5,3,2
400.0,16.5,3,5
400.0,16.6,3,1
400.0,16.6,3,2
400.0,16.6,3,5
400.0,16.7,3,1
400.0,16.7,3,2
400.0,16.7,3,5
400.0,16.8,3,1
400.0,16.8,3,2
400.0,16.8,3,5
400.0,16.9,3,1
400.0,16.9,3,2
400.0,16.9,3,5
400.0,17.0,3,1
400.0,17.0,3,2
400.0,17.0,3,6
400.0,17.1,3,1
400.0,17.1,3,2
400.0,17.1,3,6
400.0,17.2,3,1
400.0,17.2,3,2
400.0,17.2,3,6
400.0,17.3,3,1
400.0,17.3,3,2
400.0,17.3,3,6
400.0,17.4,3,1
400.0,17.4,3,2
400.0,17.4,3,7
400.0,17.5,3,1
400.0,17.5,3,2
400.0,17.5,3,7
400.0,17.6,3,1
400.0,17.6,3,2
400.0,17.6,3,7
400.0,17.7,2,2
400.0,17.7,2,7
400.0,17.8,2,2
400.0,17.8,2,6
400.0,17.9,2,2
400.0,17.9,2,6
400.0,18.0,2,2
400.0,18.0,2,5
400.0,18.1,2,2
400.0,18.1,2,4
400.0,18.2,2,2
400.0,18.2,2,4
400.0,18.3,2,2
400.0,18.3,2,4
400.0,18.4,2,2
400.0,18.4,2,6
400.0,18.5,2,2
400.0,18.5,2,6
400.0,18.6,2,2
400.0,18.6,2,5
400.0,18.7,1,2
400.0,18.8,1,2
400.0,18.9,1,2
400.0,19.0,1,2
400.0,19.1,1,2
400.0,19.2,1,2
400.0,19.3,1,1
400.0,19.4,1,2
400.0,19.5,1,1
400.0,19.6,1,1
400.0,19.7,1,1
400.0,19.8,1,1
400.0,19.9,1,1
400.0,20.0,1,1
400.0,20.1,1,1
400.0,20.2,1,1
400.0,20.3,1,1
400.0,20.4,1,1
400.0,20.5,1,1
400.0,20.6,1,1
400.0,20.7,1,1
400.0,20.8,1,1
400.0,20.9,1,1
400.0,21.0,1,1
400.0,21.1,1,1
400.0,21.2,1,1
400.0,21.3,1,1
400.0,21.4,1,1
400.0,21.5,1,1
400.0,21.6,1,1
400.0,21.7,1,1
400.0,21.8,1,1
400.0,21.9,1,1
400.0,22.0,1,1
400.0,22.1,1,1
400.0,22.2,1,1
400.0,22.3,1,1
400.0,22.4,1,1
400.0,22.5,1,1
400.0,22.6,1,1
400.0,22.7,1,1
400.0,22.8,1,1
400.0,22.9,1,1
400.0,23.0,1,1
400.0,23.1,1,2
400.0,23.2,1,2
400.0,23.3,1,2
400.0,23.4,1,2
400.0,23.5,1,2
400.0,23.6,1,2
